 (452, 'Awesome'),
 (120, 'Cool'),
 (941, 'Awesome'),
 (null, 'Cool'),
 (660, 'Awesome'),
 (677, 'Awesome'),
 (null, 'Excellent'),
 (124, 'Awesome'),
 (824, 'Cool'),
 (579, 'Cool'),
 (14, 'Excellent'),
 (471, 'Awesome'),
 (888, 'Excellent'),
 (215, 'Awesome'),
 (799, 'Cool'),
 (133, 'Excellent'),
 (87, 'Awesome'),
 (756, 'Excellent'),
 (877, 'Awesome'),
 (null, 'Awesome'),
 (29, 'Cool'),
 (null, 'Excellent'),
 (614, 'Excellent'),
 (131, 'Excellent'),
 (6, 'Awesome'),
 (477, 'Excellent'),
 (664, 'Awesome'),
 (543, 'Excellent'),
 (null, 'Awesome'),
 (794, 'Awesome'),
 (676, 'Awesome'),
 (null, 'Excellent'),
 (990, 'Awesome'),
 (466, 'Excellent'),
 (null, 'Cool'),
 (null, 'Excellent'),
 (null, 'Excellent'),
 (793, 'Excellent'),
 (78, 'Excellent'),
 (37, 'Awesome'),
 (448, 'Cool'),
 (789, 'Excellent'),
 (null, 'Cool'),
 (734, 'Excellent'),
 (704, 'Awesome'),
 (447, 'Excellent'),
 (null, 'Excellent'),
 (617, 'Awesome'),
 (null, 'Excellent'),
 (470, 'Cool'),
 (388, 'Excellent'),
 (245, 'Cool'),
 (617, 'Cool'),
 (64, 'Cool'),
 (550, 'Excellent'),
 (986, 'Awesome'),
 (481, 'Excellent'),
 (586, 'Cool'),
 (439, 'Awesome'),
 (917, 'Excellent'),
 (651, 'Cool'),
 (46, 'Excellent'),
 (274, 'Awesome'),
 (232, 'Cool'),
 (960, 'Awesome'),
 (445, 'Excellent'),
 (220, 'Excellent'),
 (978, 'Cool'),
 (5, 'Awesome'),
 (356, 'Awesome'),
 (902, 'Cool'),
 (null, 'Excellent'),
 (472, 'Awesome'),
 (315, 'Cool'),
 (67, 'Excellent'),
 (386, 'Cool'),
 (726, 'Awesome'),
 (571, 'Excellent'),
 (693, 'Excellent'),
 (230, 'Awesome'),
 (399, 'Awesome'),
 (857, 'Cool'),
 (372, 'Cool'),
 (null, 'Cool'),
 (907, 'Cool'),
 (867, 'Cool'),
 (860, 'Cool'),
 (261, 'Excellent'),
 (969, 'Excellent'),
 (606, 'Excellent'),
 (460, 'Excellent'),
 (611, 'Cool'),
 (947, 'Cool'),
 (112, 'Awesome'),
 (294, 'Cool'),
 (372, 'Excellent'),
 (28, 'Cool'),
 (null, 'Excellent'),
 (707, 'Excellent'),
 (171, 'Excellent'),
 (409, 'Cool'),
 (383, 'Awesome'),
 (536, 'Cool'),
 (682, 'Awesome'),
 (null, 'Cool'),
 (null, 'Awesome'),
 (381, 'Excellent'),
 (null, 'Cool'),
 (265, 'Awesome'),
 (574, 'Awesome'),
 (null, 'Awesome'),
 (422, 'Awesome'),
 (895, 'Excellent'),
 (null, 'Excellent'),
 (77, 'Awesome'),
 (495, 'Excellent'),
 (568, 'Awesome'),
 (947, 'Awesome'),
 (175, 'Awesome'),
 (997, 'Cool'),
 (866, 'Cool'),
 (539, 'Cool'),
 (448, 'Cool'),
 (967, 'Awesome'),
 (null, 'Awesome'),
 (279, 'Awesome'),
 (131, 'Excellent'),
 (940, 'Awesome'),
 (407, 'Awesome'),
 (599, 'Excellent'),
 (773, 'Cool'),
 (836, 'Cool'),
 (794, 'Excellent'),
 (904, 'Awesome'),
 (582, 'Awesome'),
 (916, 'Excellent'),
 (502, 'Cool'),
 (560, 'Excellent'),
 (470, 'Awesome'),
 (1000, 'Excellent'),
 (257, 'Cool'),
 (811, 'Cool'),
 (643, 'Awesome'),
 (136, 'Excellent'),
 (null, 'Cool'),
 (148, 'Awesome'),
 (683, 'Excellent'),
 (16, 'Cool'),
 (232, 'Excellent'),
 (126, 'Cool'),
 (457, 'Excellent'),
 (685, 'Awesome'),
 (930, 'Awesome'),
 (156, 'Awesome'),
 (541, 'Awesome'),
 (695, 'Cool'),
 (921, 'Cool'),
 (122, 'Excellent'),
 (null, 'Excellent'),
 (893, 'Awesome'),
 (437, 'Excellent'),
 (null, 'Awesome'),
 (976, 'Cool'),
 (25, 'Cool'),
 (null, 'Awesome'),
 (270, 'Excellent'),
 (429, 'Excellent'),
 (null, 'Cool'),
 (399, 'Awesome'),
 (null, 'Cool'),
 (734, 'Cool'),
 (433, 'Awesome'),
 (499, 'Excellent'),
 (240, 'Cool'),
 (316, 'Excellent'),
 (511, 'Cool'),
 (974, 'Cool'),
 (325, 'Awesome'),
 (331, 'Excellent'),
 (183, 'Cool'),
 (16, 'Awesome'),
 (409, 'Excellent'),
 (553, 'Excellent'),
 (632, 'Excellent'),
 (599, 'Cool'),
 (78, 'Excellent'),
 (653, 'Awesome'),
 (593, 'Excellent'),
 (450, 'Awesome'),
 (799, 'Cool'),
 (557, 'Excellent'),
 (164, 'Cool'),
 (null, 'Excellent'),
 (829, 'Excellent'),
 (582, 'Awesome'),
 (967, 'Awesome'),
 (444, 'Cool'),
 (null, 'Cool'),
 (672, 'Excellent'),
 (113, 'Cool'),
 (117, 'Excellent'),
 (131, 'Cool'),
 (null, 'Excellent'),
 (556, 'Awesome'),
 (78, 'Awesome'),
 (1, 'Cool'),
 (859, 'Excellent'),
 (564, 'Awesome'),
 (null, 'Awesome'),
 (102, 'Awesome'),
 (259, 'Awesome'),
 (813, 'Excellent'),
 (982, 'Excellent'),
 (258, 'Cool'),
 (538, 'Excellent'),
 (null, 'Awesome'),
 (519, 'Excellent'),
 (376, 'Excellent'),
 (408, 'Cool'),
 (50, 'Cool'),
 (null, 'Awesome'),
 (417, 'Awesome'),
 (485, 'Awesome'),
 (546, 'Excellent'),
 (703, 'Awesome'),
 (null, 'Cool'),
 (386, 'Cool'),
 (632, 'Excellent'),
 (738, 'Awesome'),
 (848, 'Cool'),
 (896, 'Cool'),
 (622, 'Excellent'),
 (269, 'Excellent'),
 (null, 'Awesome'),
 (869, 'Excellent'),
 (503, 'Awesome'),
 (766, 'Cool'),
 (117, 'Excellent'),
 (153, 'Cool'),
 (805, 'Cool'),
 (596, 'Excellent'),
 (456, 'Excellent'),
 (115, 'Cool'),
 (171, 'Awesome'),
 (null, 'Excellent'),
 (360, 'Cool'),
 (null, 'Awesome'),
 (880, 'Excellent'),
 (784, 'Excellent'),
 (936, 'Cool'),
 (345, 'Cool'),
 (393, 'Excellent'),
 (111, 'Excellent'),
 (null, 'Cool'),
 (108, 'Excellent'),
 (165, 'Cool'),
 (418, 'Excellent'),
 (556, 'Cool'),
 (751, 'Awesome'),
 (772, 'Cool'),
 (828, 'Excellent'),
 (564, 'Awesome'),
 (27, 'Cool'),
 (null, 'Excellent'),
 (499, 'Awesome'),
 (465, 'Cool'),
 (229, 'Cool'),
 (762, 'Cool'),
 (638, 'Excellent'),
 (355, 'Excellent'),
 (null, 'Excellent'),
 (884, 'Awesome'),
 (46, 'Cool'),
 (642, 'Awesome'),
 (593, 'Awesome'),
 (null, 'Cool'),
 (54, 'Excellent'),
 (null, 'Excellent'),
 (573, 'Awesome'),
 (null, 'Cool'),
 (83, 'Cool'),
 (744, 'Awesome'),
 (603, 'Cool'),
 (149, 'Awesome'),
 (742, 'Excellent'),
 (243, 'Awesome'),
 (390, 'Awesome'),
 (876, 'Cool'),
 (null, 'Excellent'),
 (934, 'Awesome'),
 (516, 'Awesome'),
 (505, 'Awesome'),
 (262, 'Awesome'),
 (367, 'Cool'),
 (713, 'Excellent'),
 (530, 'Excellent'),
 (null, 'Cool'),
 (804, 'Excellent'),
 (846, 'Cool'),
 (842, 'Cool'),
 (912, 'Cool'),
 (null, 'Awesome'),
 (399, 'Cool'),
 (929, 'Cool'),
 (null, 'Excellent'),
 (555, 'Excellent'),
 (632, 'Awesome'),
 (746, 'Cool'),
 (553, 'Cool'),
 (150, 'Cool'),
 (418, 'Awesome'),
 (878, 'Cool'),
 (59, 'Excellent'),
 (610, 'Awesome'),
 (673, 'Excellent'),
 (955, 'Excellent'),
 (82, 'Awesome'),
 (81, 'Awesome'),
 (70, 'Awesome'),
 (336, 'Awesome'),
 (592, 'Excellent'),
 (90, 'Cool'),
 (569, 'Excellent'),
 (386, 'Cool'),
 (743, 'Cool'),
 (207, 'Excellent'),
 (630, 'Excellent'),
 (177, 'Cool'),
 (146, 'Excellent'),
 (685, 'Cool'),
 (677, 'Awesome'),
 (null, 'Cool'),
 (225, 'Awesome'),
 (33, 'Awesome'),
 (614, 'Awesome'),
 (null, 'Excellent'),
 (177, 'Awesome'),
 (864, 'Cool'),
 (700, 'Cool'),
 (null, 'Cool'),
 (332, 'Awesome'),
 (114, 'Excellent'),
 (464, 'Excellent'),
 (460, 'Cool'),
 (467, 'Awesome'),
 (633, 'Excellent'),
 (478, 'Excellent'),
 (null, 'Excellent'),
 (60, 'Awesome'),
 (null, 'Excellent'),
 (null, 'Cool'),
 (null, 'Cool'),
 (null, 'Excellent'),
 (637, 'Cool'),
 (699, 'Awesome'),
 (160, 'Excellent'),
 (118, 'Awesome'),
 (923, 'Cool'),
 (778, 'Awesome'),
 (972, 'Awesome'),
 (240, 'Awesome'),
 (702, 'Excellent'),
 (967, 'Awesome'),
 (848, 'Excellent'),
 (18, 'Excellent'),
 (151, 'Excellent'),
 (842, 'Cool'),
 (null, 'Excellent'),
 (265, 'Awesome'),
 (236, 'Awesome'),
 (904, 'Awesome'),
 (648, 'Cool'),
 (680, 'Awesome'),
 (796, 'Cool'),
 (258, 'Cool'),
 (346, 'Cool'),
 (337, 'Awesome'),
 (787, 'Excellent'),
 (536, 'Excellent'),
 (461, 'Excellent'),
 (292, 'Excellent'),
 (350, 'Cool'),
 (878, 'Awesome'),
 (null, 'Cool'),
 (176, 'Cool'),
 (564, 'Cool'),
 (26, 'Cool'),
 (802, 'Excellent'),
 (416, 'Awesome'),
 (445, 'Cool'),
 (416, 'Awesome'),
 (504, 'Cool'),
 (26, 'Awesome'),
 (819, 'Cool'),
 (789, 'Excellent'),
 (210, 'Awesome'),
 (578, 'Awesome'),
 (null, 'Excellent'),
 (182, 'Cool'),
 (754, 'Excellent'),
 (234, 'Awesome'),
 (null, 'Excellent'),
 (351, 'Excellent'),
 (131, 'Excellent'),
 (385, 'Excellent'),
 (754, 'Excellent'),
 (882, 'Awesome'),
 (466, 'Cool'),
 (500, 'Awesome'),
 (41, 'Cool'),
 (156, 'Cool'),
 (954, 'Awesome'),
 (null, 'Awesome'),
 (null, 'Cool'),
 (null, 'Excellent'),
 (687, 'Excellent'),
 (null, 'Awesome'),
 (335, 'Excellent'),
 (608, 'Cool'),
 (219, 'Awesome'),
 (321, 'Excellent'),
 (755, 'Cool'),
 (null, 'Cool'),
 (71, 'Excellent'),
 (132, 'Awesome'),
 (329, 'Cool'),
 (null, 'Cool'),
 (566, 'Awesome'),
 (390, 'Cool'),
 (572, 'Cool'),
 (198, 'Awesome'),
 (513, 'Awesome'),
 (246, 'Excellent'),
 (null, 'Awesome'),
 (865, 'Excellent'),
 (86, 'Excellent'),
 (61, 'Cool'),
 (862, 'Excellent'),
 (624, 'Awesome'),
 (560, 'Excellent'),
 (null, 'Excellent'),
 (873, 'Excellent'),
 (714, 'Cool'),
 (966, 'Excellent'),
 (619, 'Awesome'),
 (null, 'Cool'),
 (727, 'Cool'),
 (101, 'Cool'),
 (312, 'Awesome'),
 (41, 'Awesome'),
 (334, 'Awesome'),
 (546, 'Excellent'),
 (831, 'Cool'),
 (287, 'Excellent'),
 (71, 'Cool'),
 (944, 'Awesome'),
 (245, 'Excellent'),
 (320, 'Awesome'),
 (604, 'Cool'),
 (562, 'Cool'),
 (266, 'Awesome'),
 (null, 'Cool'),
 (476, 'Awesome'),
 (713, 'Cool'),
 (294, 'Excellent'),
 (711, 'Cool'),
 (412, 'Awesome'),
 (742, 'Cool'),
 (356, 'Cool'),
 (78, 'Awesome'),
 (null, 'Cool'),
 (null, 'Awesome'),
 (312, 'Awesome'),
 (681, 'Awesome'),
 (363, 'Excellent'),
 (569, 'Cool'),
 (270, 'Awesome'),
 (781, 'Excellent'),
 (374, 'Cool'),
 (660, 'Cool'),
 (961, 'Cool'),
 (453, 'Awesome'),
 (702, 'Cool'),
 (61, 'Cool'),
 (275, 'Awesome'),
 (259, 'Excellent'),
 (598, 'Excellent'),
 (168, 'Excellent'),
 (493, 'Awesome'),
 (158, 'Awesome'),
 (525, 'Excellent'),
 (553, 'Excellent'),
 (491, 'Excellent'),
 (66, 'Excellent'),
 (676, 'Excellent'),
 (88, 'Excellent'),
 (227, 'Cool'),
 (941, 'Cool'),
 (780, 'Excellent'),
 (293, 'Cool'),
 (227, 'Excellent'),
 (361, 'Cool'),
 (361, 'Excellent'),
 (null, 'Cool'),
 (null, 'Awesome'),
 (451, 'Awesome'),
 (926, 'Awesome'),
 (56, 'Awesome'),
 (276, 'Cool'),
 (45, 'Excellent'),
 (926, 'Cool'),
 (null, 'Awesome'),
 (591, 'Excellent'),
 (715, 'Awesome'),
 (33, 'Cool'),
 (44, 'Cool'),
 (null, 'Awesome'),
 (589, 'Awesome'),
 (613, 'Excellent'),
 (540, 'Cool'),
 (null, 'Cool'),
 (151, 'Excellent'),
 (73, 'Awesome'),
 (499, 'Excellent'),
 (865, 'Awesome'),
 (786, 'Cool'),
 (983, 'Excellent'),
 (965, 'Excellent'),
 (898, 'Excellent'),
 (223, 'Excellent'),
 (380, 'Cool'),
 (null, 'Cool'),
 (190, 'Excellent'),
 (44, 'Awesome'),
 (136, 'Awesome'),
 (638, 'Excellent'),
 (523, 'Cool'),
 (null, 'Awesome'),
 (822, 'Excellent'),
 (807, 'Excellent'),
 (263, 'Excellent'),
 (267, 'Cool'),
 (337, 'Awesome'),
 (null, 'Awesome'),
 (null, 'Awesome'),
 (876, 'Excellent'),
 (272, 'Cool'),
 (null, 'Cool'),
 (726, 'Excellent'),
 (null, 'Excellent'),
 (357, 'Awesome'),
 (null, 'Cool'),
 (81, 'Awesome'),
 (507, 'Awesome'),
 (554, 'Excellent'),
 (null, 'Excellent'),
 (null, 'Cool'),
 (80, 'Awesome'),
 (392, 'Awesome'),
 (221, 'Excellent'),
 (893, 'Awesome'),
 (978, 'Awesome'),
 (782, 'Cool'),
 (538, 'Excellent'),
 (162, 'Excellent'),
 (997, 'Cool'),
 (424, 'Excellent'),
 (225, 'Awesome'),
 (190, 'Awesome'),
 (267, 'Awesome'),
 (737, 'Cool'),
 (605, 'Excellent'),
 (966, 'Awesome'),
 (662, 'Cool'),
 (177, 'Excellent'),
 (531, 'Excellent'),
 (null, 'Awesome'),
 (854, 'Cool'),
 (64, 'Awesome'),
 (838, 'Awesome'),
 (993, 'Cool'),
 (255, 'Cool'),
 (411, 'Cool'),
 (601, 'Cool'),
 (null, 'Awesome'),
 (null, 'Awesome'),
 (49, 'Cool'),
 (647, 'Cool'),
 (781, 'Excellent'),
 (577, 'Excellent'),
 (351, 'Cool'),
 (391, 'Excellent'),
 (812, 'Awesome'),
 (373, 'Excellent'),
 (930, 'Excellent'),
 (382, 'Cool'),
 (160, 'Cool'),
 (631, 'Cool'),
 (649, 'Cool'),
 (775, 'Awesome'),
 (532, 'Cool'),
 (82, 'Excellent'),
 (475, 'Excellent'),
 (307, 'Awesome'),
 (null, 'Excellent'),
 (980, 'Cool'),
 (837, 'Excellent'),
 (847, 'Awesome'),
 (687, 'Excellent'),
 (456, 'Excellent'),
 (340, 'Excellent'),
 (46, 'Cool'),
 (104, 'Cool'),
 (42, 'Awesome'),
 (666, 'Awesome'),
 (882, 'Awesome'),
 (null, 'Cool'),
 (298, 'Awesome'),
 (526, 'Cool'),
 (null, 'Excellent'),
 (412, 'Cool'),
 (129, 'Cool'),
 (null, 'Cool'),
 (825, 'Cool'),
 (null, 'Cool'),
 (577, 'Awesome'),
 (213, 'Excellent'),
 (777, 'Cool'),
 (null, 'Excellent'),
 (999, 'Cool'),
 (463, 'Awesome'),
 (511, 'Excellent'),
 (null, 'Excellent'),
 (473, 'Cool'),
 (324, 'Awesome'),
 (null, 'Cool'),
 (85, 'Cool'),
 (821, 'Awesome'),
 (null, 'Awesome'),
 (490, 'Cool'),
 (736, 'Awesome'),
 (821, 'Cool'),
 (264, 'Awesome'),
 (874, 'Awesome'),
 (188, 'Excellent'),
 (857, 'Cool'),
 (573, 'Cool'),
 (405, 'Cool'),
 (934, 'Excellent'),
 (807, 'Awesome'),
 (438, 'Awesome'),
 (205, 'Excellent'),
 (837, 'Cool'),
 (503, 'Cool'),
 (null, 'Cool'),
 (169, 'Cool'),
 (944, 'Awesome'),
 (542, 'Awesome'),
 (686, 'Excellent'),
 (null, 'Excellent'),
 (745, 'Awesome'),
 (273, 'Awesome'),
 (339, 'Excellent'),
 (682, 'Excellent'),
 (629, 'Cool'),
 (445, 'Cool'),
 (683, 'Excellent'),
 (397, 'Awesome'),
 (661, 'Awesome'),
 (332, 'Cool'),
 (596, 'Excellent'),
 (null, 'Awesome'),
 (880, 'Awesome'),
 (502, 'Excellent'),
 (218, 'Excellent'),
 (773, 'Excellent'),
 (339, 'Cool'),
 (319, 'Excellent'),
 (196, 'Awesome'),
 (182, 'Cool'),
 (996, 'Excellent'),
 (927, 'Excellent'),
 (311, 'Excellent'),
 (null, 'Cool'),
 (null, 'Excellent'),
 (692, 'Excellent'),
 (132, 'Cool'),
 (null, 'Excellent'),
 (122, 'Awesome'),
 (986, 'Cool'),
 (693, 'Excellent'),
 (190, 'Excellent'),
 (800, 'Awesome'),
 (569, 'Cool'),
 (858, 'Awesome'),
 (606, 'Awesome'),
 (null, 'Awesome'),
 (846, 'Cool'),
 (580, 'Awesome'),
 (237, 'Awesome'),
 (null, 'Excellent'),
 (377, 'Cool'),
 (475, 'Awesome'),
 (863, 'Cool'),
 (677, 'Awesome'),
 (585, 'Cool'),
 (null, 'Awesome'),
 (495, 'Cool'),
 (279, 'Excellent'),
 (835, 'Awesome'),
 (929, 'Awesome'),
 (979, 'Excellent'),
 (null, 'Awesome'),
 (484, 'Excellent'),
 (110, 'Cool'),
 (599, 'Cool'),
 (977, 'Excellent'),
 (932, 'Awesome'),
 (null, 'Cool'),
 (889, 'Awesome'),
 (344, 'Awesome'),
 (40, 'Awesome'),
 (535, 'Awesome'),
 (727, 'Cool'),
 (668, 'Excellent'),
 (183, 'Awesome'),
 (476, 'Awesome'),
 (356, 'Cool'),
 (290, 'Excellent'),
 (10, 'Cool'),
 (459, 'Awesome'),
 (647, 'Excellent'),
 (132, 'Cool'),
 (604, 'Cool'),
 (270, 'Cool'),
 (512, 'Cool'),
 (323, 'Cool'),
 (152, 'Awesome'),
 (522, 'Excellent'),
 (302, 'Awesome'),
 (60, 'Cool'),
 (19, 'Cool'),
 (135, 'Excellent'),
 (null, 'Excellent'),
 (178, 'Cool'),
 (500, 'Excellent'),
 (363, 'Cool'),
 (180, 'Awesome'),
 (741, 'Cool'),
 (950, 'Cool'),
 (8, 'Awesome'),
 (423, 'Cool'),
 (324, 'Cool'),
 (569, 'Cool'),
 (657, 'Excellent'),
 (918, 'Cool'),
 (257, 'Excellent'),
 (114, 'Awesome'),
 (395, 'Cool'),
 (257, 'Excellent'),
 (897, 'Cool'),
 (463, 'Excellent'),
 (335, 'Cool'),
 (704, 'Excellent'),
 (885, 'Excellent'),
 (null, 'Awesome'),
 (263, 'Awesome'),
 (153, 'Cool'),
 (789, 'Awesome'),
 (419, 'Awesome'),
 (null, 'Awesome'),
 (965, 'Excellent'),
 (757, 'Awesome'),
 (750, 'Cool'),
 (924, 'Awesome'),
 (155, 'Cool'),
 (539, 'Excellent'),
 (237, 'Cool'),
 (677, 'Excellent'),
 (365, 'Cool'),
 (466, 'Excellent'),
 (766, 'Excellent'),
 (453, 'Awesome'),
 (255, 'Awesome'),
 (656, 'Awesome'),
 (441, 'Cool'),
 (219, 'Cool'),
 (143, 'Excellent'),
 (196, 'Awesome'),
 (817, 'Cool'),
 (464, 'Cool'),
 (null, 'Cool'),
 (321, 'Awesome'),
 (357, 'Cool'),
 (337, 'Excellent'),
 (2, 'Excellent'),
 (55, 'Cool'),
 (95, 'Awesome'),
 (null, 'Awesome'),
 (508, 'Cool'),
 (418, 'Cool'),
 (72, 'Cool'),
 (null, 'Excellent'),
 (28, 'Excellent'),
 (879, 'Awesome'),
 (19, 'Excellent'),
 (715, 'Excellent'),
 (513, 'Cool'),
 (null, 'Cool'),
 (294, 'Awesome'),
 (147, 'Excellent'),
 (978, 'Awesome'),
 (156, 'Cool'),
 (956, 'Cool'),
 (722, 'Awesome'),
 (64, 'Cool'),
 (850, 'Cool'),
 (488, 'Awesome'),
 (null, 'Awesome'),
 (514, 'Excellent'),
 (431, 'Awesome'),
 (867, 'Cool'),
 (800, 'Awesome'),
 (821, 'Cool'),
 (749, 'Awesome'),
 (139, 'Awesome'),
 (706, 'Excellent'),
 (null, 'Excellent'),
 (401, 'Awesome'),
 (499, 'Awesome'),
 (454, 'Cool'),
 (837, 'Awesome'),
 (321, 'Excellent'),
 (701, 'Awesome'),
 (892, 'Excellent'),
 (null, 'Excellent'),
 (204, 'Cool'),
 (126, 'Awesome'),
 (827, 'Awesome'),
 (778, 'Awesome'),
 (106, 'Excellent'),
 (580, 'Excellent'),
 (null, 'Awesome'),
 (51, 'Excellent'),
 (107, 'Cool'),
 (622, 'Excellent'),
 (67, 'Awesome'),
 (853, 'Awesome'),
 (562, 'Excellent'),
 (184, 'Awesome'),
 (974, 'Awesome'),
 (107, 'Cool'),
 (919, 'Cool'),
 (31, 'Awesome'),
 (374, 'Excellent'),
 (371, 'Excellent'),
 (71, 'Excellent'),
 (160, 'Cool'),
 (696, 'Awesome'),
 (641, 'Excellent'),
 (369, 'Excellent'),
 (879, 'Awesome'),
 (580, 'Excellent'),
 (264, 'Awesome'),
 (263, 'Excellent'),
 (180, 'Excellent'),
 (617, 'Excellent'),
 (158, 'Cool'),
 (251, 'Cool'),
 (630, 'Awesome'),
 (804, 'Excellent'),
 (370, 'Awesome'),
 (905, 'Awesome'),
 (812, 'Cool'),
 (768, 'Cool'),
 (null, 'Cool'),
 (708, 'Cool'),
 (383, 'Cool'),
 (859, 'Excellent'),
 (731, 'Excellent'),
 (665, 'Excellent'),
 (90, 'Excellent'),
 (336, 'Excellent'),
 (677, 'Cool'),
 (829, 'Excellent'),
 (857, 'Excellent'),
 (300, 'Awesome'),
 (49, 'Excellent'),
 (738, 'Cool'),
 (458, 'Awesome'),
 (383, 'Awesome'),
 (447, 'Cool'),
 (null, 'Cool'),
 (518, 'Excellent'),
 (null, 'Excellent'),
 (546, 'Awesome'),
 (802, 'Cool'),
 (446, 'Excellent'),
 (626, 'Excellent');
